Nr;Datum;Zeit;Heim;Gast;Tore;Punkte
076;11.10.14;19:00;TuS N-Luebbecke;MT Melsungen;28:28;1:1
074;11.10.14;19:00;HC Erlangen;TBV Lemgo;31:25;2:0
078;11.10.14;20:15;FRISCH AUF! Goeppingen;TSV GWD Minden;29:28;2:0
079;11.10.14;20:15;SG BBM Bietigheim;SG Flensburg-Handewitt;30:38;0:2
075;12.10.14;15:00;Bergischer HC;VfL Gummersbach;28:26;2:0
149;14.10.14;19:00;Fuechse Berlin;HC Erlangen;26:26;1:1
083;15.10.14;19:00;HSV Handball;TSG Lu-Friesenheim;33:25;2:0
084;15.10.14;20:15;THW Kiel;TuS N-Luebbecke;24:21;2:0
089;15.10.14;20:15;MT Melsungen;SG BBM Bietigheim;33:25;2:0
090;15.10.14;20:15;HBW Balingen-Weilstetten;Rhein-Neckar Loewen;27:32;0:2
086;17.10.14;19:45;HSG Wetzlar;Fuechse Berlin;24:24;1:1
087;18.10.14;19:00;TBV Lemgo;SC Magdeburg;23:30;0:2
082;19.10.14;15:00;SG Flensburg-Handewitt;Bergischer HC;40:27;2:0
085;19.10.14;17:15;TSV Hannover-Burgdorf;FRISCH AUF! Goeppingen;29:29;1:1
088;19.10.14;17:15;TSV GWD Minden;HC Erlangen;29:25;2:0
091;25.10.14;16:15;Rhein-Neckar Loewen;THW Kiel;28:29;0:2
094;25.10.14;19:00;HC Erlangen;TSV Hannover-Burgdorf;32:29;2:0
092;25.10.14;19:00;Bergischer HC;TBV Lemgo;31:30;2:0
095;25.10.14;20:15;FRISCH AUF! Goeppingen;SG Flensburg-Handewitt;26:34;0:2
093;26.10.14;17:15;TSG Lu-Friesenheim;TuS N-Luebbecke;25:40;0:2
096;26.10.14;17:15;SG BBM Bietigheim;HSV Handball;28:34;0:2
097;26.10.14;17:15;TSV GWD Minden;VfL Gummersbach;25:28;0:2
098;26.10.14;17:15;Fuechse Berlin;MT Melsungen;27:24;2:0
099;26.10.14;17:15;SC Magdeburg;HSG Wetzlar;33:30;2:0
103;05.11.14;19:00;VfL Gummersbach;FRISCH AUF! Goeppingen;27:31;0:2
104;05.11.14;19:00;TBV Lemgo;TSV GWD Minden;38:21;2:0
101;05.11.14;19:00;HSG Wetzlar;SG BBM Bietigheim;26:29;0:2
106;05.11.14;19:00;TuS N-Luebbecke;Fuechse Berlin;26:35;0:2
107;05.11.14;19:00;THW Kiel;SC Magdeburg;34:22;2:0
109;05.11.14;20:15;TSV Hannover-Burgdorf;Bergischer HC;39:31;2:0
105;05.11.14;20:15;HSV Handball;HC Erlangen;34:24;2:0
102;05.11.14;20:15;MT Melsungen;TSG Lu-Friesenheim;31:25;2:0
108;05.11.14;20:45;SG Flensburg-Handewitt;Rhein-Neckar Loewen;26:29;0:2
111;08.11.14;19:00;TSV GWD Minden;SG Flensburg-Handewitt;22:31;0:2
112;08.11.14;19:00;HC Erlangen;HSG Wetzlar;22:20;2:0
113;08.11.14;19:00;Rhein-Neckar Loewen;TBV Lemgo;35:34;2:0
114;08.11.14;19:00;Bergischer HC;THW Kiel;20:32;0:2
117;08.11.14;20:15;SG BBM Bietigheim;TuS N-Luebbecke;24:32;0:2
116;09.11.14;15:00;FRISCH AUF! Goeppingen;HSV Handball;26:23;2:0
115;09.11.14;17:15;VfL Gummersbach;TSV Hannover-Burgdorf;29:29;1:1
118;09.11.14;17:15;Fuechse Berlin;TSG Lu-Friesenheim;30:24;2:0
119;09.11.14;17:15;SC Magdeburg;MT Melsungen;37:33;2:0
122;12.11.14;19:00;TBV Lemgo;FRISCH AUF! Goeppingen;22:26;0:2
073;12.11.14;19:00;TSG Lu-Friesenheim;HSG Wetzlar;23:29;0:2
120;12.11.14;20:15;Bergischer HC;HBW Balingen-Weilstetten;22:18;2:0
121;12.11.14;20:15;SG Flensburg-Handewitt;VfL Gummersbach;32:26;2:0
123;12.11.14;20:15;THW Kiel;HC Erlangen;23:22;2:0
126;15.11.14;15:00;TuS N-Luebbecke;SC Magdeburg;29:25;2:0
127;15.11.14;19:00;MT Melsungen;Rhein-Neckar Loewen;28:31;0:2
125;15.11.14;19:00;HSG Wetzlar;Bergischer HC;25:18;2:0
128;16.11.14;17:15;TSV Hannover-Burgdorf;TSV GWD Minden;26:20;2:0
129;16.11.14;17:15;HSV Handball;Fuechse Berlin;33:25;2:0
130;16.11.14;17:15;VfL Gummersbach;HBW Balingen-Weilstetten;31:25;2:0
131;19.11.14;19:00;Rhein-Neckar Loewen;HSG Wetzlar;27:20;2:0
132;19.11.14;19:00;SG Flensburg-Handewitt;TSV Hannover-Burgdorf;32:26;2:0
124;19.11.14;19:00;TSG Lu-Friesenheim;SG BBM Bietigheim;26:20;2:0
138;19.11.14;20:15;FRISCH AUF! Goeppingen;THW Kiel;25:29;0:2
133;19.11.14;20:15;HC Erlangen;MT Melsungen;28:31;0:2
