Nr;Datum;Zeit;Heim;Gast;Tore;Punkte
331;02.06.15;19:00;HBW Balingen-Weilstetten;Fuechse Berlin;26:35;0:2
321;03.06.15;19:00;Rhein-Neckar Loewen;TSG Lu-Friesenheim;37:21;2:0
323;03.06.15;20:15;TSV Hannover-Burgdorf;THW Kiel;26:28;0:2
332;05.06.15;20:00;THW Kiel;TBV Lemgo;33:29;2:0
333;05.06.15;20:00;HSV Handball;VfL Gummersbach;32:31;2:0
334;05.06.15;20:00;Fuechse Berlin;SG Flensburg-Handewitt;29:32;0:2
335;05.06.15;20:00;MT Melsungen;TSV Hannover-Burgdorf;29:26;2:0
336;05.06.15;20:00;SC Magdeburg;Rhein-Neckar Loewen;27:32;0:2
337;05.06.15;20:00;TuS N-Luebbecke;HC Erlangen;28:23;2:0
338;05.06.15;20:00;HSG Wetzlar;FRISCH AUF! Goeppingen;29:24;2:0
339;05.06.15;20:00;SG BBM Bietigheim;Bergischer HC;32:25;2:0
340;05.06.15;20:00;TSG Lu-Friesenheim;TSV GWD Minden;28:24;2:0
